title,artist,billboard_rank,tempo_from_public_dataset,danceability_from_public_dataset,acousticness,speechiness,duration_minutes,average_loudness,dynamic_complexity,danceable_probability,happy_probability,sad_probability,relaxed_probability,party_probability
Better Together,Luke Combs,57,138.002,0.552,0.827,0.0477,3.65955,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
You're Mines Still,Yung Bleu,58,153.848,0.998306035995,0.342,0.0752,1.9148833333333333,0.86017781496,3.72433662415,0.999993681908,0.112581588328,0.303778588772,0.623676002026,0.897214591503
Every Chance I Get,DJ Khaled,59,150.062,0.477,0.000866,0.286,3.942066666666667,0.797360062599,4.62108564377,0.236697301269,0.3598267138,0.287087887526,0.821495950222,0.588645398617
Essence,Wizkid,60,104.027,0.849,0.0266,0.113,4.134,0.763618588448,5.71651363373,0.983037054539,0.0904417037964,0.154405802488,0.811287105083,0.70548927784
Chasing After You,Ryan Hurd,61,145.031,0.602,0.0233,0.0558,3.29245,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
The Good Ones,Gabby Barrett,62,185.888,0.344,0.0841,0.0777,4.341116666666666,0.861799716949,3.4676668644,0.996536314487,0.0742097347975,0.309949755669,0.538872301579,0.147574350238
Leave Before You Love Me,Marshmello,63,119.976,0.721,0.00226,0.0403,2.58305,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Glad You Exist,Dan + Shay,64,103.96,0.741,0.23,0.0356,2.4126666666666665,0.915208756924,4.53272914886,0.987655937672,0.110107384622,0.260268807411,0.79944819212,0.687819719315
Lonely,Justin Bieber,65,94.01,0.795,0.108,0.0722,3.05,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Beggin',Maneskin,66,134.002,0.714,0.127,0.0504,3.526,0.734312474728,5.61559009552,0.988387525082,0.369450896978,0.331308811903,0.737974047661,0.721018135548
Streets,Doja Cat,67,90.035,0.749,0.21,0.0842,3.7831166666666665,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
What's Next,Drake,68,154.983,0.912,0.0164,0.124,3.9769,0.963362574577,2.6114487648,0.999999880791,0.21921479702,0.509636461735,0.817196428776,0.915407299995
Famous Friends,Chris Young,69,102.008,0.535,0.0528,0.0344,2.7751166666666665,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
Lil Bit,Nelly,70,119.987,0.707,0.0255,0.0387,3.266033333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Thot Shit,Megan Thee Stallion,71,130.012,0.949,0.0199,0.0946,3.07725,0.817009806633,4.2126865387,0.999120235443,0.104581594467,0.126624211669,0.314681589603,0.897242844105
Late at Night,Roddy Ricch,72,98.427,0.621,0.382,0.437,2.90915,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
Kings & Queens,Ava Max,73,129.857,0.637,0.00786,0.0405,2.70665,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Anyone,Justin Bieber,74,94.01,0.795,0.108,0.0722,3.05,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Track Star,Mooski,75,140.051,0.651,0.0297,0.0816,4.1574,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Time Today,Moneybagg Yo,76,136.994,0.912,0.0458,0.397,2.2816666666666667,0.729880750179,4.78527402878,0.992354571819,0.0554830245674,0.377780526876,0.417601555586,0.571735501289
Cry Baby,Megan Thee Stallion,77,130.012,0.949,0.0199,0.0946,3.07725,0.817009806633,4.2126865387,0.999120235443,0.104581594467,0.126624211669,0.314681589603,0.897242844105
All I Want for Christmas Is You,Mariah Carey,78,150.273,0.336,0.164,0.0384,4.01845,0.861799716949,3.4676668644,0.996536314487,0.0742097347975,0.309949755669,0.538872301579,0.147574350238
No More Parties,Coi Leray,79,156.999,0.847,0.232,0.584,2.3486666666666665,0.922618806362,5.58919095993,0.998931109905,0.593766689301,0.258682668209,0.168141007423,0.70534569025
What's Your Country Song,Thomas Rhett,80,174.079,0.359,0.000602,0.0309,2.85555,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
One Too Many,Keith Urban,81,82.959,0.697,0.247,0.068,3.398216666666667,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
Arcade,Duncan Laurence,82,115.968,0.64,0.0986,0.0341,5.884766666666667,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Yonaguni,Bad Bunny,83,179.951,0.644,0.276,0.118,3.4451666666666667,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Good Time,Niko Moon,84,179.798,0.48,0.487,0.368,3.55555,0.640779674053,24.2089557648,3.00000096379e-14,0.999999880791,0.515458762646,0.808817088604,0.754786550999
If I Didn't Love You,Jason Aldean,85,184.075,0.456,0.176,0.0324,3.5338333333333334,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Knife Talk,Drake,86,145.887,0.849,0.0635,0.324,4.049433333333333,0.640779674053,24.2089557648,3.00000096379e-14,0.999999880791,0.515458762646,0.808817088604,0.754786550999
POV,Ariana Grande,87,190.097,0.4,0.119,0.461,3.101783333333333,0.886195898056,4.63921928406,0.999901115894,0.0331370308995,0.693571269512,0.815766751766,0.0806108564138
Just the Way,Parmalee,88,135.73,0.54,0.804,0.0339,5.008666666666667,0.700807750225,5.74363422394,0.223896637559,0.263168692589,0.591698288918,0.994870960712,0.0705413222313
Take My Breath,The Weeknd,89,108.959,0.664,0.0811,0.0305,6.017116666666666,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
We're Good,Dua Lipa,90,116.073,0.762,0.00261,0.0694,3.4886666666666666,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Hell of a View,Eric Church,91,98.997,0.689,0.101,0.0235,2.917116666666667,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
Rockin' Around the Christmas Tree,Brenda Lee,92,67.196,0.589,0.614,0.0502,2.10445,0.718114972115,4.14494752884,0.101191796362,0.412140220404,0.887514472008,0.993237197399,0.0270968750119
Put Your Records On,Ritt Momney,93,95.031,0.708,0.316,0.0266,2.742,0.835866451263,3.77218961716,0.994216620922,0.708288788795,0.400147974491,0.185959249735,0.33303374052
Happier Than Ever,Billie Eilish,94,81.055,0.332,0.767,0.0348,4.98165,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Single Saturday Night,Cole Swindell,95,139.931,0.659,0.513,0.0312,3.38955,0.777140319347,4.08998155594,0.997963190079,0.429100185633,0.558590173721,0.959189295769,0.70627373457
Things a Man Oughta Know,Lainey Wilson,96,139.931,0.659,0.513,0.0312,3.38955,0.777140319347,4.08998155594,0.997963190079,0.429100185633,0.558590173721,0.959189295769,0.70627373457
Throat Baby (Go Baby),BRS Kash,97,157.596,0.567,0.0084,0.223,4.42845,0.797360062599,4.62108564377,0.236697301269,0.3598267138,0.287087887526,0.821495950222,0.588645398617
Tombstone,Rod Wave,98,84.448,0.55,0.597,0.163,2.6679666666666666,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
Drinkin' Beer. Talkin' God. Amen.,Chase Rice,99,140.975,0.655,0.749,0.0486,3.307333333333333,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Todo de Ti,Rauw Alejandro,100,127.962,0.78,0.302,0.0506,3.3267333333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
